direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,ai,safety
31.719091429379983,1815.334393684685,9,9,4,172.5,3270,181.66666666666663,133.21870072261714,345,15,22.0,24.777777777777782,15.742919239227504,47,2,beamng,safe
20.0,1390.5330932474335,4,6,4,75.0,1440,144.0,120.03749414245534,345,30,24.5,25.5,14.326548781894402,42,2,driver_ai,safe
191.65905615326017,1444.0671580905773,4,5,4,120.0,1470,163.33333333333334,111.23049142309056,315,15,32.0,29.222222222222218,13.766124103737631,47,7,beamng,safe
205.2997808084558,1702.2276939594856,4,6,2,105.0,1530,153.0,112.60994627474078,330,15,32.0,30.0,12.083045973594572,47,7,driver_ai,safe
60.532587865090335,1694.7057043524921,6,8,2,90.0,2130,152.14285714285714,111.07774442309515,345,15,22.0,24.857142857142854,13.05404777321219,47,7,beamng,safe
17.42580692098775,1918.0823199214983,6,8,3,112.5,2190,156.42857142857142,127.49549811980158,345,15,27.0,26.285714285714285,13.868919884962569,47,2,driver_ai,safe
20.0,2547.7120864568883,10,11,3,120.0,3690,175.71428571428572,128.7974204330354,345,15,22.0,22.476190476190478,16.028602552101752,47,2,driver_ai,safe
0.0,1555.2890319617484,5,7,6,75.0,1830,152.5,119.81756966321758,330,15,24.5,24.08333333333333,12.658714609136092,47,7,driver_ai,safe
116.17418861005244,2096.9855178167886,5,3,3,270.0,1875,234.375,95.73523058414808,330,105,32.0,30.75,14.523687548277811,47,2,driver_ai,safe
177.15849370950104,1979.315834692532,9,9,3,180.0,3255,180.83333333333331,115.48508802246096,345,30,17.0,20.055555555555557,13.243330490066908,47,2,driver_ai,safe
235.36105035453582,1692.9851018193601,7,5,1,262.5,2535,211.25,114.31179947844404,345,45,32.0,30.75,12.43734296383275,47,2,driver_ai,safe
134.57702793083573,1550.1692828540986,4,5,4,105.0,1410,156.66666666666666,110.47875612784368,300,45,27.0,29.777777777777782,10.829771494232183,47,17,beamng,safe
42.7551166528639,1531.6753983679835,7,7,2,187.5,2475,176.78571428571428,115.79858040792122,345,30,22.0,23.785714285714285,15.190121655811955,47,2,driver_ai,safe
41.18081800626967,2214.412208959988,8,6,3,262.5,2835,202.5,116.84467712064838,345,15,27.0,27.357142857142854,12.601627688840964,47,7,driver_ai,safe
191.65905615326017,1842.1281247780103,11,8,1,285.0,3930,206.84210526315792,118.86757920072887,345,30,32.0,27.52631578947368,13.267960701005824,47,2,driver_ai,safe
40.0,1536.1583854908065,5,8,4,90.0,1755,135.0,117.22758929666551,315,15,27.0,23.153846153846153,14.826411744151065,47,2,beamng,safe
13.228701606227839,1317.245007527427,7,4,3,315.0,2460,223.63636363636363,127.35224788484228,345,15,32.0,29.72727272727273,13.205308223939953,47,7,driver_ai,safe
74.02204643285917,1302.168042292477,7,7,3,187.5,2475,176.78571428571428,139.12490717308086,345,15,27.0,26.642857142857146,10.600587199754164,42,7,driver_ai,safe
239.43738967899463,1666.7802182717382,6,6,2,165.0,2085,173.75,123.76262561856063,345,15,22.0,23.66666666666667,14.624940645653536,47,2,driver_ai,safe
