is_start_seg,is_last_seg,prev_is_right_turn,prev_is_left_turn,prev_is_straight,prev_angles,prev_pivot_off,prev_actual_length,prev_direct_length,prev_directed_hausdorff,seg_is_right_turn,seg_is_left_turn,seg_is_straight,seg_angles,seg_pivot_off,seg_actual_length,seg_direct_length,next_is_right_turn,next_is_left_turn,next_is_straight,next_angles,next_pivot_off,next_actual_length,next_direct_length,next_directed_hausdorff,safety
0,0,1,0,0,15,47,49.202668948099,49.07784827473939,17.71125231673513,1,0,0,30,32,66.99937899315609,66.25767554624531,0,1,0,-15,12,12.562383561216766,12.530514453124953,51.906318511366536,safe
0,0,1,0,0,15,12,12.562383561216766,12.530514453124953,2.043144859893516,0,0,1,0,0,10.0,10.0,1,0,0,45,42,131.90502739277605,128.58163327467014,4.338659244110503,safe
0,0,1,0,0,105,22,161.21725570228188,139.63018789125738,161.14715526845413,0,1,0,-60,47,196.81067579239598,188.0,0,0,1,0,0,10.0,10.0,183.4079127231641,safe
0,0,0,0,1,0,0,90.0,90.0,179.92220541111652,1,0,0,90,42,263.8100547855521,237.58787847867995,1,0,0,75,17,88.98355022528544,82.791554345186,155.01022170119023,safe
0,0,0,1,0,-75,17,88.98355022528544,82.791554345186,61.48466310919417,1,0,0,30,47,98.405337896198,97.31596095854778,0,1,0,-105,2,14.656114154752894,12.69365344465976,87.03807539838465,safe
0,0,0,0,1,0,0,10.0,10.0,63.53678791495843,0,1,0,-60,17,71.18684018022833,68.0,0,0,1,0,0,30.0,30.0,48.40217201377666,safe
0,0,1,0,0,105,12,87.93668492851738,76.16192066795854,56.19309937358626,0,0,1,0,0,90.0,90.0,0,1,0,-60,22,92.12414611558964,88.0,36.72067689497157,safe
0,0,0,0,1,0,0,10.0,10.0,254.2560861885643,1,0,0,105,42,307.77839724981067,266.56672233785497,1,0,0,30,22,46.06207305779482,45.55215193804365,227.2703474712184,safe
0,0,1,0,0,90,7,43.96834246425868,39.597979746446654,3.5349629956371533,1,0,0,15,17,17.796710045057086,17.751562141927018,0,1,0,-90,42,263.8100547855521,237.58787847867995,5.583281582763007,safe
0,0,0,0,1,0,0,10.0,10.0,80.0,0,0,1,0,0,90.0,90.0,0,1,0,-15,37,38.734015980418356,38.63575289713527,50.92357356696175,safe
0,1,0,1,0,-15,37,38.734015980418356,38.63575289713527,11.851157465683112,0,0,1,0,0,50.0,50.0,0,0,0,-1,-1,-1.0,-1.0,-1.0,safe
0,0,0,1,0,-75,32,167.49844748289024,155.84292582623246,26.789259698909373,1,0,0,60,12,50.24953424486706,47.99999999999999,1,0,0,60,22,92.12414611558964,88.0,11.430201301551964,safe
0,1,1,0,0,60,37,154.93606392167342,148.0,26.38549704386402,0,0,1,0,0,90.0,90.0,0,0,0,-1,-1,-1.0,-1.0,-1.0,safe
1,0,0,0,0,-1,-1,-1.0,-1.0,-1.0,0,0,1,0,0,50.0,50.0,1,0,0,45,7,21.984171232129345,21.430272212445022,33.769168086071986,safe
0,0,0,1,0,-15,32,33.49968949657804,33.4147052083332,15.663143066406192,0,1,0,-15,47,49.202668948099,49.07784827473939,1,0,0,90,12,75.3743013673006,67.88225099390854,26.883903858949772,safe
1,0,0,0,0,-1,-1,-1.0,-1.0,-1.0,0,0,1,0,0,50.0,50.0,0,1,0,-60,47,196.81067579239598,188.0,6.549428478208963,safe
0,0,0,1,0,-15,32,33.49968949657804,33.4147052083332,107.2723977586493,0,1,0,-120,17,142.3736803604567,117.77945491468364,1,0,0,45,22,69.09310958669222,67.3522840962558,117.9595787143874,safe
0,0,1,0,0,15,27,28.265363012737733,28.193657519531143,9.62745835273277,0,1,0,-75,2,10.468652967680637,9.740182864139529,1,0,0,90,17,106.78026027034252,96.16652224137044,9.878029220985585,safe
0,0,0,0,1,0,0,70.0,70.0,34.45891474609361,0,1,0,-15,32,33.49968949657804,33.4147052083332,1,0,0,60,12,50.24953424486706,47.99999999999999,15.323720810418925,safe
